village_name,school,hospital,park,retail
南岸村民委员会,120,10,10,138
洲边村民委员会,30,7,6,132
邓岗村民委员会,33,7,10,73
范湖社区居民委员会,14,6,1,43
小柳店村委会,63,6,6,45
马起乏村委会,561,49,5,348
西柳村委会,46,16,0,92
行宫村委会,699,55,7,410
湘山村委会,25,10,0,30
下界溪村委会,22,7,0,23
东谢村委会,22,7,0,23
韩浜村委会,37,16,1,39
新屯南村委会,37,16,1,43
潘韩村委会,12,11,1,8
共何村委会,65,14,1,66
新下湖村委会,62,14,1,65
雀嘴村委会,44,10,0,44
舜岸村委会,13,0,0,11
五夫村委会,54,13,2,72
陈家坊村委会,14,2,0,9
菜园村委会,14,4,0,20
冯庄村委会,14,4,0,20
王喇村委会,6,3,0,17
草舍村委会,5,2,0,7
嵇东村委会,3,5,0,1
广山村委会,5,3,0,11
江南村委会,1,0,0,1
北袁旗营村委会,302,50,8,170
东明集村委会,27,9,0,21
荆台集村委会,38,7,0,31
任老屯村委会,23,7,0,27
夏行村委会,152,21,0,93
段末营村委会,15,6,0,9
临河店村委会,15,3,0,7
周管营村委会,25,7,0,22
胡庄村委会,225,29,1,134
宋庄村委会,19,7,0,14
马桥村委会,13,5,1,3
玉皇庙村委会,17,6,0,17
郝北城村委会,16,7,1,21
陈屯村委会,375,67,3,244
牛集村委会,34,4,1,48
景庄村委会,156,21,0,90
英疃村委会,414,36,6,284
郑庄村委会,46,8,0,55
贯庄村委会,304,30,5,244
和堂村委会,388,37,3,287
西蔡村委会,373,27,6,262
望东村委会,364,27,6,260
西榴村委会,12,4,0,21
东安村委会,10,5,0,22
青南村委会,34,9,0,33
桃东村委会,29,7,1,34
桃北村委会,34,8,0,36
南芹村委会,16,4,1,19
北芹村委会,9,3,1,10
山后村委会,22,4,0,31
薛埠村委会,15,4,1,18
坦埠村委会,5,4,0,4
大联村委会,54,15,1,164
塘西村委会,26,5,5,32
斯村村委会,2,2,1,2
象塘夏楼村委会,23,5,3,20
溪西村委会,37,16,3,102
泉府村委会,48,13,4,95
花园村委会,57,16,4,112
南新村委会,54,15,4,104
上安恬村委会,48,12,3,86
防军村委会,23,6,3,47
南湖村委会,193,20,15,161
东湖村委会,3,2,1,5
夏屠村委会,23,7,3,44
双溪村委会,27,4,2,84
雅村村委会,105,20,3,269
许宅村委会,26,9,1,26
北关村委会,329,56,3,201
三十里铺村委会,211,16,13,106
长命水村民委员会,297,18,39,209
大雁村民委员会,53,6,18,246
大岑村民委员会,132,15,32,350
鳌山村民委员会,134,17,18,265
同安村民委员会,149,18,19,433
安乐村民委员会,216,20,21,564
和泰村民委员会,266,25,18,658
穗成村民委员会,443,34,27,692
永益村民委员会,399,34,24,696
益隆村民委员会,192,20,8,752
胜龙村民委员会,131,12,8,375
新胜村民委员会,187,12,7,575
坦背村民委员会,156,15,7,391
白鲤村民委员会,112,14,4,500
古四村民委员会,272,10,35,783
古三村民委员会,255,9,35,749
古二村民委员会,257,9,35,777
古一村民委员会,246,9,34,776
六坊村民委员会,271,13,37,761
七坊村民委员会,279,16,38,807
冈东村民委员会,273,15,37,751
冈南村民委员会,280,13,36,726
曹一村民委员会,261,14,35,789
曹二村民委员会,228,21,34,781
曹三村民委员会,298,12,34,893
海洲村民委员会,327,34,26,700
龙瑞村民委员会,831,59,65,1207
云汉村民委员会,918,57,70,1282
乐群村民委员会,635,50,42,1083
圣狮村民委员会,452,32,23,821
沙溪村民委员会,454,33,26,873
会,603,45,20,764
七村社区居民委员会,810,48,27,829
永二村民委员会,102,17,8,300
新前进村民委员会,128,14,4,312
高平村民委员会,74,9,8,162
新丰村民委员会,70,7,4,499
横东村民委员会,191,16,12,544
贴边村民委员会,131,14,1,746
宝裕村民委员会,55,5,5,310
新茂村民委员会,97,10,3,639
裕祥村民委员会,130,11,2,644
五沙村民委员会,63,5,4,351
三沙村民委员会,195,14,6,904
罗松村民委员会,103,17,9,206
阜沙村民委员会,90,13,6,126
牛角村民委员会,113,19,8,248
上南村民委员会,32,5,3,114
西山社区居民委员会,202,20,11,294
乌石村民委员会,252,23,17,469
白石村民委员会,125,10,10,287
大布村民委员会,219,20,14,325
雍陌村民委员会,218,22,17,329
古鹤村民委员会,60,15,7,238
新圩村民委员会,71,14,6,243
茅湾村民委员会,75,14,5,259
塘敢村民委员会,243,21,15,322
板芙村民委员会,47,7,2,91
金钟村民委员会,29,6,3,109
里溪村民委员会,26,7,3,100
深湾村民委员会,25,6,3,98
白溪村民委员会,49,9,3,133
宥南村民委员会,18,2,3,42
外沙村民委员会,27,5,5,118
史店村委会,32,9,3,28
岳庄村委会,8,6,0,17
李寨村委会,33,9,0,33
大安乐庄村委会,110,44,2,133
锦源村委会,2,2,0,4
新溪桥村委会,250,41,10,149
平山社区,3,3,1,3
金马村委会,31,7,3,28
朱村村委会,29,7,3,28
