,checkname,school,hospital,park,retail
2332,溪南村委会,1,0,0,8
3084,溪南村委会,1,0,0,8
2067,石步村委会,2,0,0,0
2819,石步村委会,2,0,0,0
3922,大维村民委员会,2,0,0,0
2270,马栅村委会,2,1,0,0
3022,马栅村委会,2,1,0,0
1759,大道村民委员会,4,0,0,0
2510,望京洲村村民委员会,4,0,0,0
1834,土湖村民委员会,4,0,0,4
2585,桥背村民委员会,4,0,0,4
5056,高村村委会,4,0,1,3
3632,金四村委会,4,1,0,1
1848,南坑村民委员会,6,1,1,9
2599,红卫村民委员会,6,1,1,9
2045,厚埔村委会,7,0,0,5
2797,厚埔村委会,7,0,0,5
1772,青塘村民委员会,7,1,0,3
2523,乌石村民委员会,7,1,0,3
3628,南方村委会,8,0,0,3
1780,罗村村民委员会,11,1,0,14
2531,泮沥村民委员会,11,1,0,14
5064,小布村委会,11,1,2,30
5121,白石村委会,12,1,3,21
3467,田中村委会,12,4,3,19
3468,莲云村委会,12,4,3,19
2026,硕联村委会,13,1,1,7
2778,硕联村委会,13,1,1,8
3079,涂洋村委会,14,1,0,13
2327,涂洋村委会,14,1,0,14
2312,占梨村委会,14,1,1,8
3064,占梨村委会,14,1,1,8
3,范湖社区居民委员会,14,6,1,43
1756,范和村民委员会,15,2,2,22
2507,长排村民委员会,16,2,2,22
1129,郭村村委会,16,3,5,34
4026,陈洞村委会,17,1,3,36
3948,草堂村民委员会,17,1,4,14
4011,白土村委会,17,2,0,41
3643,黄厝尾村委会,18,2,0,6
3644,内畔村委会,18,2,0,6
3645,霞露村委会,18,2,0,6
4350,中心村委会,18,2,0,37
4010,五龙岗村委会,18,2,0,40
1134,白石村委会,18,2,2,45
139,宥南村民委员会,18,2,3,42
2299,泥沟村委会,19,0,0,10
3051,泥沟村委会,19,0,0,10
4336,永乐村委会,20,0,2,41
2028,秋江村委会,20,3,1,11
2780,秋江村委会,21,3,1,11
1847,红卫村民委员会,21,5,1,198
4015,红旗村委会,22,3,1,34
2598,约场村民委员会,22,5,1,197
1675,本策村委会,22,7,2,34
4345,竹湖村委会,23,1,0,48
2058,新堂村委会,23,3,0,17
2810,新堂村委会,23,3,0,17
1846,约场村民委员会,23,3,1,164
2597,东风村民委员会,23,3,1,166
137,深湾村民委员会,25,6,3,98
1782,金星村民委员会,26,1,1,55
2533,新乐村村民委员会,26,1,1,55
1755,长排村民委员会,26,2,3,30
2506,太阳村民委员会,26,2,3,33
2063,小泽村委会,26,2,5,47
2815,小泽村委会,26,2,5,48
136,里溪村民委员会,26,7,3,100
2027,楼下村委会,27,1,0,22
2031,仙美村委会,27,1,0,22
2032,英花村委会,27,1,0,22
2303,宝镜院村委会,27,1,0,22
2779,楼下村委会,27,1,0,22
2783,仙美村委会,27,1,0,22
2784,英花村委会,27,1,0,22
3055,宝镜院村委会,27,1,0,22
4346,联安村委会,27,2,0,59
140,外沙村民委员会,27,5,5,118
3666,南门村委会,28,0,0,6
1776,虾村村民委员会,28,5,1,44
2062,五和村委会,29,3,7,84
2814,五和村委会,29,3,7,87
2527,九龙村民委员会,29,5,1,44
135,金钟村民委员会,29,6,3,109
2013,象岗村委会,30,1,2,20
2765,象岗村委会,30,1,2,20
939,狮北村委会,30,5,8,125
1,洲边村民委员会,30,7,6,132
1845,东风村民委员会,32,4,0,203
124,上南村民委员会,32,5,3,114
3043,多年山村委会,33,2,4,16
2291,多年山村委会,33,2,4,17
958,建星村委会,33,4,11,88
2,邓岗村民委员会,33,7,10,73
3662,洲东村委会,34,2,1,32
5107,仙洲村委会,34,2,1,32
2029,北良村委会,34,2,3,11
2781,北良村委会,34,2,3,12
2034,玉联村委会,34,3,4,16
2596,产径村民委员会,34,4,0,203
2595,新联村民委员会,34,4,0,238
521,飞鹅村委会,35,1,6,70
2786,玉联村委会,35,3,4,16
1844,产径村民委员会,35,4,0,232
930,儒溪村委会,35,6,13,88
3668,田东村委会,36,0,1,31
3619,岭头村委会,36,1,3,25
2301,陈厝寨村委会,36,3,1,27
3053,陈厝寨村委会,36,3,1,27
2033,坪埔村委会,36,3,4,20
2785,坪埔村委会,36,3,4,20
5268,深巷村村民委员会,36,3,7,136
925,烟南村委会,36,9,3,122
2064,沙冲村委会,37,5,1,50
2816,沙冲村委会,37,5,1,50
5395,西大坦村村民委员会,37,15,2,311
1841,长布村民委员会,38,3,2,243
936,下滘村委会,38,6,10,139
4339,李溪村委会,39,0,4,70
2592,岩前村民委员会,39,3,2,243
2037,汾水村委会,39,3,5,18
4012,马洞村委会,40,1,6,90
4038,大石岗村委会,40,3,3,82
2789,汾水村委会,41,3,5,19
3992,大源村委会,42,1,5,83
1132,白江村委会,42,2,4,76
2036,东寮村委会,42,3,2,49
2788,东寮村委会,43,3,2,50
4344,秀塘村委会,43,3,6,122
928,上金瓯社区居委会,43,13,0,85
3979,凤和村委会,44,1,3,66
910,大同村民委员会,44,2,0,86
4347,北兴村委会,44,4,3,73
5338,水平村村民委员会,44,8,7,253
1012,寮仔村民委员会,45,2,2,99
2011,北洋村委会,46,0,6,29
3731,南社村委会,46,4,4,29
1758,望京洲村村民委员会,46,6,5,202
3577,浮岗村委会,47,1,1,35
134,板芙村民委员会,47,7,2,91
2322,新松村委会,47,8,1,31
3074,新松村委会,47,8,1,33
2763,北洋村委会,48,0,6,29
3988,龙归社区居委会,48,4,2,152
2509,汉塘村民委员会,48,6,5,206
4337,红群村委会,49,1,3,104
4025,光明村委会,49,1,4,182
1139,麻车村委会,49,2,3,62
4024,金盆村委会,49,2,4,284
3956,海傍村民委员会,49,4,5,70
5394,福禄沙村村民委员会,49,5,3,179
2061,莲塘村委会,49,6,11,128
2813,莲塘村委会,49,6,11,132
138,白溪村民委员会,49,9,3,133
4341,山下村委会,50,1,9,118
5140,东溪村委会,50,5,0,106
952,宏岗村委会,50,9,22,264
5093,龙潭村委会,50,11,7,87
5381,杨屋村村民委员会,51,10,14,300
5382,颜屋村村民委员会,51,10,15,271
2593,长布村民委员会,53,1,2,165
1842,花果村民委员会,53,1,2,167
2305,南村村委会,53,4,3,30
3057,南村村委会,53,4,3,30
1777,陶前村民委员会,53,5,0,171
78,大雁村民委员会,53,6,18,246
941,显子岗村委会,53,8,13,285
5275,杨屋村村民委员会,53,10,14,298
2307,大陇村委会,54,3,3,38
2528,虾村村民委员会,54,5,0,176
4363,瑞边村委会,55,0,3,245
3059,大陇村委会,55,3,3,37
116,宝裕村民委员会,55,5,5,310
1757,汉塘村民委员会,55,7,0,202
5396,穗丰年村村民委员会,55,13,9,478
1843,新联村民委员会,56,3,1,222
2594,花果村民委员会,56,3,1,228
3971,东华村委会,56,3,4,155
2065,新建村委会,56,5,2,67
2508,范和村民委员会,56,7,0,200
4954,桂林村委会,56,8,20,37
929,大同社区居委会,56,10,12,185
2324,冷美村委会,57,1,3,30
2818,三益村委会,57,2,0,109
3572,登塘村委会,57,2,2,64
4338,保良村委会,57,4,3,113
2817,新建村委会,57,5,2,67
5089,南坑村委会,57,13,18,121
2066,三益村委会,58,2,0,102
1751,光明村民委员会,58,6,2,169
5099,南华村委会,58,6,11,77
5379,水朗村村民委员会,58,17,35,337
1779,泮沥村民委员会,59,2,4,252
2530,竹仔园村民委员会,59,2,4,260
5291,大厚村村民委员会,59,5,11,246
5098,东村村委会,59,6,10,85
950,白岗社区居委会,59,7,21,260
4030,茅山村委会,60,1,6,136
4027,塘贝村委会,60,1,6,165
3695,后溪村委会,60,2,3,24
3688,肖渡村委会,60,4,6,42
907,细沥村民委员会,60,6,11,81
4560,龙溪村委会,60,9,4,140
130,古鹤村民委员会,60,15,7,238
5337,犀牛陂村村民委员会,60,18,7,433
3076,冷美村委会,61,1,3,31
3694,下北村委会,61,3,3,28
4343,象山村委会,61,3,8,141
5094,逢简村委会,61,14,10,96
1753,万松村民委员会,62,3,2,215
2787,浮山村委会,62,7,2,56
119,五沙村民委员会,63,5,4,351
2035,浮山村委会,63,7,2,55
933,罗行社区居委会,63,8,11,155
2331,长美村委会,64,2,1,30
3083,长美村委会,64,2,1,30
906,万洲村民委员会,64,7,13,80
2504,洪湖村民委员会,65,3,2,215
5292,谢岗村村民委员会,65,10,12,267
5293,赵林村村民委员会,65,10,12,272
3684,新桥村委会,66,2,2,71
2820,白庙村委会,66,10,1,82
908,小乌村民委员会,67,9,8,73
911,人民村民委员会,67,12,6,58
1016,铁场村民委员会,68,2,3,184
4022,白沙村委会,68,4,4,249
4014,湴湖村委会,68,5,6,113
2068,白庙村委会,68,10,1,81
3691,横陇村委会,69,6,4,49
2308,水寨村委会,69,7,2,50
3060,水寨村委会,69,7,2,50
2286,松柏岭村委会,69,7,4,72
3038,松柏岭村委会,69,7,4,74
3667,东陇村委会,70,3,5,31
3533,大宅村委会,70,5,6,51
3692,前沟村委会,70,6,4,46
2302,横山村委会,70,6,5,47
3054,横山村委会,70,6,5,47
113,新丰村民委员会,70,7,4,499
3629,金一村委会,71,2,2,57
4020,小罗村委会,71,3,5,310
4009,长腰岭村委会,71,3,7,136
3047,长岭口村委会,71,9,4,75
2295,长岭口村委会,71,9,4,76
131,新圩村民委员会,71,14,6,243
4348,莘田二村委会,72,2,8,131
2304,洪山村委会,72,7,6,54
3056,洪山村委会,72,7,6,55
5095,昌教村委会,72,8,12,86
3058,钟堂村委会,72,11,3,79
5110,上浮山村委会,73,4,6,45
1140,沙头村委会,73,4,8,122
2306,钟堂村委会,73,11,3,79
112,高平村民委员会,74,9,8,162
4952,那味村委会,75,2,5,82
4023,良田村委会,75,4,5,224
4018,乌溪村委会,75,4,5,275
5336,松木山村村民委员会,75,12,13,341
132,茅湾村民委员会,75,14,5,259
4017,纲领村委会,76,4,6,278
923,石江社区居委会,76,13,15,188
4016,雄伟村委会,78,5,7,137
2775,军埔村委会,78,7,5,70
954,布新村委会,78,12,27,330
4013,黎家塘村委会,79,2,7,132
2023,军埔村委会,79,7,5,72
5409,梅沙村村民委员会,79,26,10,274
5105,大澳村委会,80,3,3,54
3690,渡头村委会,80,9,4,68
5294,曹乐村村民委员会,80,12,13,399
4342,三凤村委会,81,2,12,184
3616,内池村委会,81,3,3,68
4036,泉溪村委会,81,5,7,181
5059,沙滘社区居委会,81,8,19,185
5077,罗沙村委会,81,17,28,361
4331,平东村委会,82,3,16,196
5069,良村村委会,82,13,23,250
5343,罗马村村民委员会,83,9,10,384
3582,双岗村委会,85,4,3,51
3946,陈边村民委员会,85,12,20,114
3947,草堂村民委员会,85,12,20,121
4349,马岭村委会,85,17,10,392
3080,高埔村委会,86,2,2,47
2328,高埔村委会,86,2,2,49
909,大简村民委员会,87,14,10,112
3683,后望村委会,88,2,5,77
5100,南浦村委会,88,13,18,204
5076,沙边村委会,88,13,21,346
5287,东江村村民委员会,88,15,5,356
4334,平山村委会,89,3,12,200
4029,双岗村委会,89,4,2,192
951,得胜村委会,89,9,32,385
5393,大泥村村民委员会,89,17,8,598
5354,青皇村村民委员会,89,23,15,522
2590,岭湖村民委员会,90,6,5,206
955,岗联村委会,90,9,19,321
122,阜沙村民委员会,90,13,6,126
